Latitude,Longitude,Depth,Datetime,Surf_DH
84.734,92.334,3.650288818359375,2008-01-01,0.159
84.819,92.598,3.65677880859375,2008-01-02,0.15996
84.893,93.129,3.646798095703125,2008-01-03,0.16089
84.852,92.928,3.62114404296875,2008-01-04,0.16185
84.831,92.308,3.650850830078125,2008-01-05,0.16128
84.844,91.905,3.63831640625,2008-01-06,0.15619
84.867,91.522,3.61425439453125,2008-01-07,0.16245
84.952,91.772,3.689325927734375,2008-01-08,0.16207
85.053,93.421,3.72623583984375,2008-01-09,0.16304
85.082,93.504,3.7263779296875,2008-01-10,0.16775
85.153,92.901,3.7111259765625,2008-01-11,0.16902
85.185,92.155,3.97660400390625,2008-01-12,0.16767
85.137,91.439,3.67186474609375,2008-01-13,0.16049
85.094,91.425,3.619728759765625,2008-01-14,0.15822
85.04,92.058,3.77374609375,2008-01-15,0.16141
85.041,92.315,3.81082470703125,2008-01-16,0.16195
85.076,91.278,3.6056494140625,2008-01-17,0.16045
85.124,90.641,3.494198974609375,2008-01-18,0.15962
85.427,86.521,3.916512451171875,2008-01-20,0.15175
85.459,85.535,4.11782763671875,2008-01-21,0.15835
85.542,84.06,3.86124755859375,2008-01-22,0.16656
85.517,82.362,3.70675537109375,2008-01-23,0.15622
85.359,81.109,3.777168212890625,2008-01-24,0.15214
85.321,80.803,3.776029541015625,2008-01-25,0.15249
85.319,80.771,3.774848876953125,2008-01-26,0.15147
85.356,79.803,3.797031494140625,2008-01-27,0.15096
85.289,78.887,3.77280322265625,2008-01-28,0.15089
85.234,78.821,3.761515869140625,2008-01-29,0.28687
85.196,78.754,3.755053955078125,2008-01-30,0.15069
85.184,78.392,3.75164404296875,2008-01-31,0.14995
85.158,78.044,3.746313720703125,2008-02-01,0.14803
85.146,77.881,3.7421181640625,2008-02-02,0.14637
85.159,77.857,3.746534423828125,2008-02-03,0.1493
85.095,78.167,3.73543994140625,2008-02-04,0.15176
85.078,77.758,3.73233056640625,2008-02-05,0.1464
85.103,77.974,3.736347412109375,2008-02-06,0.14978
85.088,77.922,3.73369384765625,2008-02-07,0.14832
